"logFC","logCPM","LR","PValue","FDR"
"ENSG00000159388",2.68536712442274,3.3990319003582,24.8520756416292,6.19023562600007e-07,0.0123897566054391
"ENSG00000171223",2.54864219442572,3.1231135920743,21.3517923413824,3.82263206893196e-06,0.0265155627619831
"ENSG00000153234",1.96590690140823,3.66518193468783,21.2771769322501,3.97435364906067e-06,0.0265155627619831
"ENSG00000119508",2.22305683575451,6.05778427680551,20.4700171357924,6.05727214282301e-06,0.0303090754846506
"ENSG00000213741",1.03607344202726,8.77039758122846,19.7684915232686,8.74118612205014e-06,0.0349909680465667
"ENSG00000122877",2.74154700032062,2.28969649139268,18.05265351766,2.14878947248279e-05,0.0716800354862384
"ENSG00000164442",1.20008026376867,2.81091555339803,17.5023435881722,2.86953746784048e-05,0.0730836509036312
"ENSG00000123975",2.39663080793374,0.454742579279911,17.4684493328001,2.92115516976792e-05,0.0730836509036312
"ENSG00000159335",0.746938948469434,4.1194502627749,16.4723981323194,4.93635175895683e-05,0.0956440844145374
"ENSG00000073756",2.18329268140361,3.7333748527968,16.425271143905,5.06060407938909e-05,0.0956440844145374
"ENSG00000228716",1.66443177072353,5.8753934643805,16.0651821375192,6.11989725852616e-05,0.0956440844145374
"ENSG00000198576",2.27734118950712,4.61134152362466,15.9901484504526,6.36729564845258e-05,0.0956440844145374
"ENSG00000174576",3.37513247675314,5.86630272491865,15.9632381738074,6.45845340563061e-05,0.0956440844145374
"ENSG00000184984",-0.664736091433622,1.26398022235852,15.8965464073933,6.69006835774931e-05,0.0956440844145374
"ENSG00000075426",1.53814038821656,5.66518478916533,15.0197758449273,0.000106390442417936,0.138101609900445
"ENSG00000176907",1.06444176548789,1.82207003244299,14.9499927204441,0.000110398489053566,0.138101609900445
"ENSG00000179388",1.78858223708126,4.73512359232528,14.821690950029,0.000118168506806407,0.139126039042955
"ENSG00000185432",0.70181051332341,1.0324736664961,14.6837432834032,0.00012713815768995,0.141370568120241
"ENSG00000154721",0.491802152621975,5.36696064368461,14.5623072284206,0.000135600026397698,0.142843922544733
"ENSG00000142871",2.65111300208613,2.98895449457584,14.4308813845605,0.000145398364548133,0.145507413321544
"ENSG00000258311",2.43943419356502,-2.76784767301078,14.1999675852832,0.000164373344505455,0.156663451917937
"ENSG00000120129",1.79125486599911,2.85067420807346,14.0632071003868,0.000176768097510513,0.160818794166951
"ENSG00000109758",0.765561403153094,1.17773962245243,13.7114633150736,0.000213149493777398,0.18487598666213
"ENSG00000178531",0.905946109733398,2.37278778501344,13.6377331603764,0.000221684920304328,0.18487598666213
"ENSG00000287542",-0.377082268987159,3.9203237872461,13.5205121883135,0.000235970005392345,0.188917586317111
"ENSG00000135625",2.2132855835262,2.26568814633733,13.2218929585795,0.000276698024003065,0.206447701718292
"ENSG00000177606",1.37983733291997,4.06884078233103,13.2097566812553,0.000278495525675438,0.206447701718292
"ENSG00000120738",1.80444870699879,4.57060722067259,13.082882776226,0.000298006474091021,0.213021413533278
"ENSG00000170345",2.93255378576673,3.62698751095527,12.9321030762591,0.000322994699834523,0.222922031627171
"ENSG00000141232",0.745035561256056,2.85219041412324,12.8180578339543,0.00034328988913928,0.22472367782876
"ENSG00000198695",1.32672204053333,8.66116766865447,12.7198382541141,0.000361797059398923,0.22472367782876
"ENSG00000198840",1.13709719100926,5.11402482514957,12.7102801847258,0.000363650938929141,0.22472367782876
"ENSG00000173917",-2.51436956466855,-2.94402417849152,12.6753079704671,0.000370516181281492,0.22472367782876
"ENSG00000125648",0.338529046374991,4.42668264230804,12.4453086889532,0.000419043023556869,0.246680768132081
"ENSG00000112855",-0.394013634854055,3.68003459568596,12.1929228597281,0.000479711607805963,0.260696359384695
"ENSG00000113369",0.641388309508676,3.91299272998561,12.1541020594331,0.000489800187528812,0.260696359384695
"ENSG00000104722",0.775815925320427,6.59399663430538,12.1419513843758,0.000493001646269062,0.260696359384695
"ENSG00000135919",1.27076383908475,6.26549012349033,12.0995144079074,0.000504349559602619,0.260696359384695
"ENSG00000102178",0.700909490519651,0.994315417131924,12.0861524865463,0.000507976918111573,0.260696359384695
"ENSG00000120049",0.350887949227124,5.87217162739103,11.9432547761799,0.000548455820651516,0.270697732863568
"ENSG00000122756",0.38235006419531,5.10550112601488,11.9227874521258,0.000554514466520425,0.270697732863568
"ENSG00000150459",0.94572791380396,3.11620260673116,11.8552312411719,0.000574995954030849,0.274012952855415
